30	10
0	54	2	65	3	27	7	29	9	86	6	78	8	7	5	91	1	55	4	37	
3	35	0	103	6	65	2	104	8	108	9	95	1	17	4	53	7	14	5	6	
4	53	3	62	8	50	9	81	1	60	6	16	5	71	2	47	7	108	0	54	
1	55	5	32	0	60	6	8	2	58	9	14	3	35	4	29	8	90	7	82	
0	57	4	27	3	58	5	40	1	26	9	18	6	99	8	119	7	44	2	92	
7	92	0	31	1	4	6	13	5	58	3	47	4	33	2	74	8	57	9	38	
7	83	5	96	1	26	8	4	2	75	4	5	3	78	0	4	9	65	6	68	
2	74	4	6	7	25	8	39	6	41	3	19	9	22	5	64	1	17	0	44	
7	69	9	60	2	17	8	79	6	51	3	26	5	102	4	38	0	94	1	31	
9	74	6	70	5	8	1	42	2	16	8	42	0	73	4	65	3	69	7	103	
8	7	0	67	9	7	3	66	6	77	5	68	4	18	2	52	7	100	1	90	
4	55	3	23	0	26	8	43	2	44	1	72	7	90	6	37	5	66	9	53	
9	53	1	13	6	55	7	77	0	118	8	10	4	14	2	67	5	78	3	13	
0	16	6	23	1	70	3	41	8	71	5	31	4	32	9	31	7	75	2	59	
2	15	0	53	5	83	6	8	3	54	7	23	1	14	9	23	4	53	8	32	
1	82	5	47	6	64	0	38	8	88	4	28	9	62	2	66	7	96	3	55	
4	45	7	59	1	12	8	13	0	114	6	43	9	38	5	44	3	11	2	30	
1	21	0	35	7	50	8	35	4	62	5	46	9	91	2	25	3	67	6	88	
0	69	6	88	1	59	5	68	9	107	8	13	3	56	4	40	2	30	7	108	
1	17	0	31	6	109	5	4	4	77	7	86	8	28	2	65	9	42	3	64	
7	57	9	17	6	34	3	14	8	56	2	57	4	9	1	63	0	17	5	37	
2	40	5	53	4	75	0	69	6	88	9	76	8	18	7	9	3	32	1	113	
4	42	3	73	6	39	2	119	9	9	0	13	7	15	8	84	5	48	1	65	
8	27	1	70	3	90	5	41	9	37	4	85	6	72	0	63	2	86	7	55	
5	12	3	5	2	22	0	102	1	97	9	21	6	74	8	20	7	8	4	45	
7	54	2	60	0	17	9	7	5	30	6	102	1	104	4	32	3	24	8	38	
5	95	0	21	9	52	2	53	1	24	6	83	7	37	8	52	3	70	4	23	
6	62	5	15	8	20	1	81	3	30	0	20	7	62	2	49	9	41	4	40	
0	60	9	38	3	85	5	7	1	77	7	59	4	69	2	107	6	66	8	32	
3	26	9	99	2	13	0	90	6	86	8	29	4	45	5	62	1	63	7	109	
