10	10
4	69	8	59	6	112	5	112	1	66	2	91	9	82	7	104	0	105	3	107	
5	69	3	46	6	72	4	81	2	108	8	51	0	73	1	84	7	92	9	52	
9	64	8	74	0	71	1	69	6	58	5	71	7	89	4	97	2	64	3	91	
7	90	2	83	1	57	4	82	3	49	6	59	5	76	0	86	9	78	8	66	
3	66	4	104	9	101	8	105	0	106	2	75	6	77	5	58	7	63	1	90	
1	89	4	68	5	54	6	68	8	87	2	68	7	73	9	74	3	80	0	99	
7	57	1	100	4	101	3	107	0	77	8	96	2	52	5	92	6	40	9	66	
4	110	6	68	3	76	2	54	1	75	5	109	7	87	0	71	8	108	9	63	
0	74	6	67	3	61	7	81	1	71	2	76	4	84	5	71	8	101	9	98	
3	61	0	45	1	69	8	53	7	60	9	90	6	52	4	84	5	46	2	103	
