30	20
2	96	8	30	6	33	0	16	4	43	15	17	16	26	13	66	5	84	12	58	10	122	7	43	14	88	19	15	1	85	3	47	18	74	17	97	9	41	11	77	
0	70	10	44	13	105	3	61	2	30	7	57	1	64	16	43	9	47	17	50	18	40	15	10	11	66	8	52	19	69	5	3	4	94	12	39	14	83	6	123	
0	70	19	34	11	20	9	25	15	28	3	99	13	56	18	39	1	31	5	46	7	70	6	72	10	101	4	29	14	34	8	50	12	21	2	36	16	1	17	18	
7	50	19	102	10	38	11	38	9	84	14	40	6	29	12	62	16	62	13	97	5	39	15	32	4	107	3	68	17	48	8	48	1	26	18	51	2	44	0	41	
0	114	6	21	11	44	1	78	3	25	16	94	19	64	12	48	10	47	7	16	5	74	2	23	15	5	4	3	18	10	14	31	9	85	8	24	13	26	17	86	
17	32	8	76	19	29	16	44	0	48	12	30	13	2	14	65	3	22	2	36	1	80	10	61	7	49	9	84	15	99	4	15	6	68	11	104	18	91	5	66	
18	104	1	6	9	28	11	38	17	27	0	12	2	6	6	43	16	115	10	71	4	36	14	23	19	94	12	53	15	87	7	2	3	63	5	21	8	43	13	104	
14	103	9	61	11	47	8	90	2	63	16	80	4	5	1	2	19	67	6	96	0	40	7	15	15	52	18	54	12	76	17	40	13	51	3	52	5	98	10	15	
3	31	14	80	9	77	0	56	11	85	10	119	4	59	12	41	5	4	16	85	2	37	1	14	13	4	7	43	17	40	19	30	6	90	18	82	8	4	15	87	
13	2	7	53	9	33	0	93	3	62	8	18	11	65	4	23	5	12	14	44	15	59	6	2	2	73	17	25	1	42	10	57	19	12	18	16	16	76	12	7	
4	73	17	54	2	75	8	42	11	41	19	70	18	17	13	4	12	10	3	89	1	36	10	3	5	51	15	79	14	19	9	58	16	76	6	98	7	63	0	60	
6	98	0	8	12	66	18	28	1	33	14	93	19	52	16	68	10	110	8	51	17	85	11	69	2	12	13	24	7	43	4	98	5	26	15	60	3	22	9	26	
2	90	7	35	13	82	0	5	19	90	4	6	9	43	11	41	16	18	3	41	5	35	6	13	14	43	18	28	12	32	15	74	10	95	1	84	17	102	8	75	
14	31	3	64	6	21	7	72	8	51	12	88	15	4	5	74	16	23	4	16	0	52	17	82	1	19	18	74	2	18	19	37	10	28	11	39	9	103	13	53	
18	10	11	37	2	96	3	28	5	84	4	92	15	17	13	72	19	90	6	90	1	50	14	40	0	63	12	29	8	89	9	16	16	5	7	20	10	22	17	84	
10	41	13	49	16	71	8	67	17	95	11	30	7	57	5	71	14	13	15	10	6	78	3	69	0	11	19	25	18	6	2	75	4	94	12	67	1	59	9	34	
2	51	10	79	19	43	7	13	18	3	4	35	6	108	5	53	0	15	11	45	13	39	1	91	9	25	12	62	8	45	16	13	14	12	3	93	15	90	17	90	
1	73	13	70	11	9	2	92	3	15	18	25	17	6	9	96	16	51	6	87	12	54	15	79	0	84	4	1	7	13	14	30	8	3	5	113	10	13	19	14	
18	45	10	47	12	14	16	98	1	24	11	98	8	90	19	19	9	40	17	2	5	47	2	70	13	46	14	41	7	91	6	102	15	92	0	33	3	9	4	85	
7	13	8	85	14	32	11	42	10	96	13	61	6	42	16	59	19	95	2	87	18	36	3	58	5	66	4	99	1	21	12	22	15	41	0	92	9	93	17	94	
11	24	6	48	17	8	8	94	4	72	12	112	1	12	0	39	19	22	9	61	16	21	18	74	2	2	3	77	10	70	15	32	14	23	7	13	5	77	13	90	
16	96	19	137	4	34	5	10	3	61	18	102	15	74	8	48	13	26	0	87	10	36	14	95	11	42	1	49	12	43	2	95	9	1	6	48	17	80	7	48	
3	40	4	11	2	55	9	77	7	91	16	70	0	43	5	63	13	91	11	48	8	57	14	81	18	6	10	4	17	12	6	37	12	68	15	28	1	93	19	69	
7	18	2	2	14	11	5	22	6	93	9	59	10	15	15	13	3	10	16	81	18	85	12	62	11	70	17	64	0	93	8	29	4	24	13	5	19	86	1	27	
17	10	11	39	18	61	7	32	12	39	4	112	10	90	3	82	8	58	13	70	2	38	9	15	15	41	19	26	6	48	1	73	16	38	14	88	5	4	0	57	
1	46	4	78	10	5	7	13	0	32	9	70	14	60	5	87	2	40	18	9	6	50	3	135	19	41	16	95	11	58	12	57	15	63	17	32	13	56	8	31	
10	88	14	2	12	51	6	19	18	104	2	90	13	52	8	41	9	38	19	36	11	76	15	62	17	27	7	28	0	5	5	65	16	54	3	52	1	82	4	80	
14	98	13	44	1	33	5	20	17	74	2	19	4	3	18	88	3	20	12	69	19	59	0	37	10	72	9	50	11	62	8	37	7	95	15	11	16	11	6	2	
5	57	11	27	16	25	12	26	15	31	10	97	0	15	2	21	14	36	4	25	8	65	1	97	18	7	9	13	17	71	7	32	19	16	6	6	3	47	13	57	
19	22	14	87	4	95	8	41	0	70	1	35	15	95	9	58	3	36	12	52	6	25	13	138	17	60	7	51	11	87	16	11	5	96	2	59	18	101	10	90	
