10	10
4	88	8	69	6	95	5	99	1	65	2	86	9	75	7	99	0	88	3	93	
5	73	3	53	6	70	4	74	2	92	8	69	0	93	1	86	7	95	9	62	
9	78	8	57	0	83	1	65	6	64	5	83	7	79	4	85	2	56	3	77	
7	93	2	68	1	62	4	98	3	54	6	74	5	66	0	78	9	66	8	66	
3	70	4	87	9	80	8	96	0	99	2	70	6	95	5	64	7	66	1	85	
1	101	4	79	5	63	6	67	8	85	2	78	7	68	9	61	3	80	0	90	
7	50	1	85	4	93	3	97	0	97	8	99	2	66	5	103	6	55	9	71	
4	95	6	72	3	83	2	50	1	70	5	95	7	84	0	64	8	94	9	80	
0	93	6	70	3	80	7	86	1	67	2	82	4	76	5	58	8	94	9	97	
3	49	0	62	1	82	8	64	7	56	9	95	6	56	4	77	5	56	2	95	
