10	10
4	88	8	68	6	94	5	99	1	67	2	89	9	77	7	99	0	86	3	92	
5	72	3	49	6	69	4	75	2	97	8	66	0	92	1	80	7	94	9	63	
9	86	8	61	0	83	1	65	6	64	5	85	7	78	4	85	2	55	3	77	
7	94	2	68	1	61	4	99	3	54	6	75	5	66	0	76	9	63	8	67	
3	69	4	86	9	82	8	96	0	99	2	66	6	95	5	68	7	67	1	87	
1	99	4	81	5	65	6	66	8	80	2	80	7	69	9	62	3	79	0	88	
7	50	1	85	4	97	3	96	0	95	8	97	2	64	5	99	6	52	9	71	
4	98	6	71	3	82	2	51	1	71	5	95	7	85	0	62	8	95	9	79	
0	93	6	70	3	81	7	85	1	66	2	90	4	76	5	57	8	93	9	97	
3	50	0	59	1	83	8	67	7	56	9	96	6	58	4	81	5	59	2	96	
