30	10
0	67	2	85	3	27	7	28	9	94	6	97	8	7	5	98	1	45	4	43	
3	32	0	97	6	55	2	87	8	92	9	89	1	20	4	48	7	17	5	5	
4	43	3	69	8	47	9	67	1	57	6	19	5	81	2	60	7	94	0	61	
1	57	5	41	0	78	6	9	2	48	9	16	3	32	4	30	8	88	7	78	
0	54	4	32	3	48	5	49	1	25	9	17	6	94	8	97	7	47	2	89	
7	95	0	31	1	5	6	15	5	70	3	59	4	33	2	63	8	62	9	40	
7	97	5	92	1	32	8	7	2	79	4	4	3	67	0	5	9	79	6	59	
2	76	4	7	7	20	8	44	6	35	3	24	9	28	5	67	1	15	0	46	
7	57	9	50	2	20	8	91	6	49	3	25	5	86	4	50	0	93	1	27	
9	80	6	71	5	7	1	39	2	16	8	41	0	69	4	84	3	58	7	99	
8	9	0	85	9	6	3	71	6	96	5	86	4	14	2	42	7	81	1	81	
4	73	3	24	0	31	8	55	2	44	1	62	7	81	6	42	5	57	9	44	
9	43	1	13	6	71	7	92	0	94	8	11	4	15	2	76	5	99	3	14	
0	15	6	26	1	69	3	45	8	80	5	31	4	38	9	28	7	93	2	66	
2	11	0	43	5	96	6	8	3	45	7	21	1	15	9	28	4	62	8	35	
1	79	5	49	6	84	0	42	8	84	4	30	9	76	2	58	7	86	3	61	
4	48	7	50	1	14	8	14	0	92	6	49	9	33	5	58	3	9	2	36	
1	26	0	50	7	60	8	32	4	53	5	38	9	73	2	23	3	85	6	80	
0	83	6	83	1	70	5	70	9	88	8	12	3	59	4	48	2	33	7	98	
1	13	0	39	6	88	5	5	4	78	7	94	8	22	2	73	9	54	3	70	
7	60	9	19	6	40	3	15	8	65	2	63	4	8	1	63	0	19	5	31	
2	32	5	45	4	74	0	57	6	84	9	82	8	17	7	6	3	34	1	96	
4	48	3	71	6	52	2	100	9	7	0	17	7	18	8	94	5	54	1	52	
8	34	1	78	3	98	5	37	9	48	4	78	6	76	0	55	2	79	7	55	
5	13	3	5	2	25	0	86	1	95	9	29	6	79	8	25	7	10	4	39	
7	48	2	60	0	19	9	7	5	32	6	98	1	89	4	33	3	25	8	41	
5	87	0	19	9	47	2	44	1	31	6	96	7	45	8	66	3	68	4	27	
6	70	5	21	8	19	1	77	3	38	0	17	7	51	2	44	9	42	4	39	
0	50	9	43	3	73	5	6	1	77	7	57	4	77	2	87	6	71	8	37	
3	30	9	97	2	13	0	74	6	97	8	25	4	49	5	57	1	67	7	93	
