20	20
10	44	2	66	9	7	3	16	7	53	4	37	18	84	12	59	6	60	14	7	15	66	0	96	5	58	17	44	8	5	13	87	19	58	11	57	16	44	1	8	
0	92	14	19	2	20	11	68	8	38	6	92	7	16	15	68	12	10	18	30	1	43	16	67	13	94	19	5	10	43	5	13	4	68	3	38	17	4	9	72	
8	83	7	90	1	23	12	80	4	47	18	48	14	66	2	82	15	13	10	84	11	95	16	24	0	67	17	34	9	78	5	72	13	93	19	24	6	20	3	4	
10	100	15	64	0	7	6	54	18	12	16	59	9	21	2	66	19	67	5	16	11	15	13	56	8	49	7	9	4	71	17	30	12	3	1	56	3	25	14	32	
10	29	18	63	16	11	4	81	5	49	9	66	8	17	3	94	12	36	14	96	17	43	1	90	0	45	11	74	2	76	19	65	15	78	13	19	7	87	6	68	
3	89	12	22	9	35	11	84	19	73	14	86	2	21	1	75	10	60	13	72	5	23	8	35	7	52	17	82	16	56	18	0	0	57	15	70	4	24	6	29	
2	2	7	82	6	29	19	52	5	19	9	94	11	17	16	66	10	42	8	47	1	95	18	0	4	86	0	7	13	52	3	19	15	66	14	59	12	20	17	34	
12	19	7	102	18	49	19	43	5	59	10	31	8	70	14	101	11	9	17	43	0	53	9	86	15	8	6	13	1	66	4	13	3	71	2	43	16	87	13	11	
8	28	12	20	7	96	4	43	5	53	10	85	3	52	9	59	0	41	2	78	13	55	11	51	1	59	19	21	14	30	16	3	17	85	15	88	18	16	6	70	
17	74	14	64	5	19	10	62	13	92	11	73	9	52	4	34	2	82	7	29	0	67	3	93	6	88	8	50	18	51	1	37	15	4	16	60	19	18	12	34	
2	22	17	85	9	54	14	71	1	56	7	41	15	23	3	19	4	95	6	31	5	39	0	82	18	77	11	79	10	53	12	52	16	77	8	23	19	97	13	56	
19	33	10	29	9	25	4	70	1	78	7	15	18	63	2	8	15	11	11	12	3	86	8	44	13	69	16	60	6	70	12	35	17	65	5	46	14	74	0	6	
0	74	16	81	1	78	12	14	17	96	13	100	8	48	19	76	4	90	3	13	7	40	9	66	18	100	15	24	10	56	6	17	2	23	11	13	5	49	14	60	
7	59	12	75	13	30	8	50	17	29	9	66	16	18	10	1	6	29	3	14	14	35	4	57	11	41	19	12	5	45	1	76	18	41	15	108	0	71	2	34	
5	69	10	42	1	23	4	3	2	50	6	70	14	83	7	92	11	41	18	46	9	84	13	49	15	86	3	74	0	65	19	50	17	39	16	39	12	86	8	81	
4	58	13	0	18	45	3	37	19	74	10	94	14	5	2	13	12	92	1	69	7	72	11	93	5	56	8	92	15	48	6	89	9	81	0	15	16	75	17	62	
8	50	15	17	16	61	19	39	5	42	6	95	12	1	2	55	10	83	14	93	0	67	3	69	9	83	13	81	1	81	4	74	11	22	17	92	18	48	7	61	
5	7	19	33	11	73	12	17	6	29	3	86	4	86	8	71	1	41	17	18	18	33	2	38	13	39	14	41	15	78	16	85	10	87	7	91	0	27	9	1	
7	40	1	25	10	48	18	69	14	93	16	15	5	62	13	28	4	19	19	92	2	59	6	71	0	69	12	43	11	24	15	2	3	19	17	58	8	12	9	74	
0	85	9	34	16	38	4	95	2	101	7	77	15	97	13	87	1	49	6	31	19	87	3	25	10	37	8	43	11	26	5	33	18	23	12	16	17	54	14	55	
